 鈴木彩艶,谷晃生,早川友基,,,,
伊藤洋輝,板倉滉,渡辺剛,谷口彰悟,瀬古歩夢,鈴木淳之介,冨安健洋
遠藤航,守田英正,佐野海舟,田中碧,,,
 三笘薫,中村敬斗,堂安律,伊東純也,菅原由勢,,
 鎌田大地,久保建英,町野修斗,前田大然,,,
上田綺世,小川航基,塩貝健人,,,,
